gauge	HUC2	Dry	PctFlow	m_90-10	err_1_abs	err_1b	break	err_2_abs	err_2b	m_1	m_2	err_ratio_abs	LAT	LONG
2300700	3	1	99.93558257508656	3.2181673389466012	0.18535972095121742	0.16383125060838072	22.985183992269906	0.061313919707361816	-0.017076608937264533	5.968346799910078	2.6845504286104043	3.02312626294159	27.79197000000001	-82.35204
2310947	3	1	85.80716913337326	10.284298778147845	0.5107797463927835	-0.5107797463927835	60.065018393361285	0.09417895754651301	-0.06884521355103233	8.58898452259537	15.370241544805266	5.423501806552913	28.31195	-82.05591
2312200	3	1	87.7928979789033	7.55378447466588	0.11876253889722982	-0.019992343187470354	23.70408245430389	0.09952471165345862	-0.07542889261116577	8.287377145815977	7.355830896736487	1.1932969905078108	28.57277	-82.15536
2314500	3	1	99.94363475320074	5.971173811895921	0.17419370795196223	-0.16928308806294826	83.95265319268862	0.042049347823728093	0.0003770090801117487	5.518109397970116	11.558968250314162	4.142601894378638	30.68056	-82.56056
2315500	3	0	100	5.854490184704868	0.20310716962989334	-0.18461307764984558	84.0	0.05421974195142978	0.03916475932971688	5.257245281955361	13.220510651948794	3.7460003002566373	30.32578	-82.73818
2324400	3	0	100	6.279423373665205	0.11482352129156113	0.11200749386773565	75.0	0.045440582116361615	-0.027275358692876797	6.7026289641378325	4.445532481617145	2.5268937135868486	30.09827	-83.47180999999998
2327100	3	0	100	6.545552453537437	0.10776860490304609	-0.101213536522875	48.0	0.026244595778715442	0.013418127148389825	5.949769464719677	7.084594205324933	4.106316051186706	30.12937	-84.49435
2342933	3	0	100	5.3788742201052635	0.17121867267989396	-0.1428104893982957	77.0	0.052098542793806234	0.021873393083072994	4.893425462044513	7.880802434726057	3.2864388042010533	32.01766	-85.29576999999998
2349900	3	0	100	4.08107617263753	0.2590996574692364	0.2590996574692364	53.0	0.04308632459698423	0.04077635493558775	5.083840178460684	2.915701787491703	6.013501032932657	32.19556	-83.90222
2350900	3	0	100	3.04514560702321	0.060273712564002394	-0.008489384703551183	81.0	0.04120592683215542	0.0333393946922177	2.9287909037744173	3.96305493265258	1.462743765223775	31.764440000000004	-84.25333
2361000	3	0	100	3.288861449957602	0.0735500386327887	-0.009048341218309181	78.0	0.05477311649899875	0.047351137778359566	3.1250541396363953	4.217102875111109	1.3428127397887464	31.34295	-85.61049
2363000	3	0	100	4.823473113636667	0.19007646339832143	-0.18980260488018677	66.0	0.03785068490444104	-0.024914969520996855	4.2419497567895235	6.180360946280001	5.021744358872081	31.594890000000003	-85.78299999999999
2369800	3	0	100	2.5066669619076425	0.16557783049561392	0.16536160975474612	30.0	0.03705443791636712	0.036082017906268755	3.783302931411356	2.081121638739738	4.468502015044126	31.02768	-86.70996
2371500	3	0	100	4.22461397055149	0.037071824733868636	-0.011075045711990321	59.0	0.027518065235172934	0.017897568358606224	4.10783659751184	4.409197560194807	1.3471813667511883	31.5735	-86.25161999999996
2372250	3	0	100	4.06458205961399	0.07217505637018427	-0.02634427960496153	85.0	0.04034545294634507	0.03199730426229684	3.910949222096876	6.369074622370699	1.7889266596205775	31.59627	-86.40552
2374500	3	0	100	2.2832042392784335	0.08905863800523921	0.06246727895027368	23.0	0.038669225548616085	-0.0229860310147642	3.581437217593432	2.0313082882620908	2.3030882243367423	31.4185	-86.98664000000002
2381600	3	0	100	2.7167167018925498	0.10745102600850828	-0.03746174196140666	83.0	0.07197805929778166	0.05596776705577408	2.4639450850309985	5.3527635634487245	1.4928302743475037	34.570370000000004	-84.46882
2384540	3	0	100	3.926142854248111	0.16818703959567438	-0.1269423794349837	74.0	0.06811580638766378	0.018935025726766783	3.4759742992567717	5.726817074213468	2.4691337960308455	34.87202	-84.72133000000002
2395120	3	0	100	2.6878054605150337	0.1443856757565492	0.14024042894759342	39.0	0.032278835921004945	0.009719032115969218	3.5767011803166118	2.1823549531768816	4.473075674410938	34.24278	-84.88972
2408540	3	0	100	3.5462012576955706	0.09161751703276053	-0.044325765563424185	82.0	0.05091738199739782	0.03497334270122739	3.3286793982196166	5.503897992979157	1.7993367576801713	32.91679	-86.27025
2415000	3	0	100	3.8489849422797087	0.1932566388796992	-0.17204166167430307	77.0	0.058464956527817004	0.0036190056121989905	3.33117924393517	6.517675849132335	3.3055124019077953	33.066790000000005	-85.87913
2422500	3	0	100	2.7694671450055197	0.12883297932698717	0.12369300205155671	31.0	0.027653710122446325	0.01078229732092656	3.8313654394959706	2.3915033452716306	4.658795465654872	32.58291	-86.9036
2427250	3	0	100	3.757701962313721	0.20335427469040437	0.20325016522443787	28.0	0.033127653708596154	0.022697937548723977	5.738761127088912	3.182555753185439	6.138505204117032	31.99626	-87.06832
